,Player,Playtype,# Seasons,Season,Avg. GP,Avg. # Poss,Avg. Freq,Avg. PPP,Avg. Pts,Avg. EFG%,Avg. FT Freq,Avg. TOV Freq,Avg. SF Freq,Avg. Score Freq,Avg. Percentile
1851,Chris Paul,pr_ballhandler,7,Playoffs,11.0,9.16,46.01,1.0,9.2,56.0,7.5,14.3,4.2,47.19,72.0
1852,Jeff Teague,pr_ballhandler,4,Playoffs,9.0,4.47,35.35,0.83,4.28,44.0,11.9,16.4,11.5,36.9,32.0
1853,Andre Iguodala,pr_ballhandler,5,Playoffs,16.0,0.56,10.08,0.55,0.36,34.0,0.0,17.8,0.0,26.42,20.0
1854,Donovan Mitchell,pr_ballhandler,5,Playoffs,8.0,12.4,43.04,0.91,11.9,47.0,10.7,11.2,9.2,41.58,54.0
1855,Royce O'Neale,pr_ballhandler,2,Playoffs,8.0,0.75,7.4,0.8,0.7,42.0,20.0,30.0,10.0,40.0,0.0
1856,Patrick Williams,pr_ballhandler,1,Playoffs,5.0,1.0,8.5,1.2,1.2,75.0,0.0,20.0,0.0,60.0,0.0
1857,Kyle Anderson,pr_ballhandler,5,Playoffs,9.0,0.66,9.76,0.49,0.32,35.0,2.2,14.7,2.2,25.32,0.0
1858,Derrick White,pr_ballhandler,3,Playoffs,7.0,2.7,41.5,0.98,2.93,53.0,8.5,9.4,8.5,43.13,57.0
1859,Vince Carter,pr_ballhandler,2,Playoffs,5.0,1.3,13.5,1.1,1.4,69.0,14.3,27.1,7.2,51.45,0.0
1860,Norman Powell,pr_ballhandler,6,Playoffs,12.0,1.53,20.5,0.85,1.33,47.0,8.9,13.5,3.7,42.0,44.0
1861,Brad Wanamaker,pr_ballhandler,2,Playoffs,10.0,1.3,37.85,0.78,0.75,46.0,2.8,22.2,2.8,33.35,45.0
